16:48:29.142673 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1726568:1726788, ack 1045, win 309, options [nop,nop,TS val 2519125209 ecr 440440712], length 220
16:48:29.142818 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1726788:1727008, ack 1045, win 309, options [nop,nop,TS val 2519125209 ecr 440440712], length 220
16:48:29.142930 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1727008:1727228, ack 1045, win 309, options [nop,nop,TS val 2519125210 ecr 440440712], length 220
16:48:29.143036 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1727228:1727448, ack 1045, win 309, options [nop,nop,TS val 2519125210 ecr 440440712], length 220
16:48:29.143141 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1727448:1727668, ack 1045, win 309, options [nop,nop,TS val 2519125210 ecr 440440712], length 220
16:48:29.143246 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1727668:1727888, ack 1045, win 309, options [nop,nop,TS val 2519125210 ecr 440440712], length 220
16:48:29.143352 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1727888:1728108, ack 1045, win 309, options [nop,nop,TS val 2519125210 ecr 440440712], length 220
16:48:29.143478 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1728108:1728328, ack 1045, win 309, options [nop,nop,TS val 2519125210 ecr 440440712], length 220
16:48:29.143585 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1728328:1728548, ack 1045, win 309, options [nop,nop,TS val 2519125210 ecr 440440712], length 220
16:48:29.143690 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1728548:1728768, ack 1045, win 309, options [nop,nop,TS val 2519125210 ecr 440440712], length 220
16:48:29.143797 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1728768:1728988, ack 1045, win 309, options [nop,nop,TS val 2519125210 ecr 440440712], length 220
16:48:29.143901 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1728988:1729208, ack 1045, win 309, options [nop,nop,TS val 2519125211 ecr 440440712], length 220
16:48:29.144006 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1729208:1729428, ack 1045, win 309, options [nop,nop,TS val 2519125211 ecr 440440712], length 220
16:48:29.144111 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1729428:1729648, ack 1045, win 309, options [nop,nop,TS val 2519125211 ecr 440440712], length 220
16:48:29.144216 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1729648:1729868, ack 1045, win 309, options [nop,nop,TS val 2519125211 ecr 440440712], length 220
