PING 172.217.7.14 (172.217.7.14) 56(84) bytes of data.
64 bytes from 172.217.7.14: icmp_seq=34 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=35 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=36 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=37 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=38 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=39 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=40 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=41 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=42 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=43 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=44 ttl=56 time=15.1 ms
64 bytes from 172.217.7.14: icmp_seq=45 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=46 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=47 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=48 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=49 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=50 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=51 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=52 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=53 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=54 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=55 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=56 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=57 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=58 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=59 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=60 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=61 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=62 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=63 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=64 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=65 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=66 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=67 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=68 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=69 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=70 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=71 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=72 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=73 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=74 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=75 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=76 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=77 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=78 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=79 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=80 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=81 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=82 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=83 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=84 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=85 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=86 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=87 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=88 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=89 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=90 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=91 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=92 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=93 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=94 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=95 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=96 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=97 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=98 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=99 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=100 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=101 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=102 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=103 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=104 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=105 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=106 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=107 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=108 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=109 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=110 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=111 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=112 ttl=56 time=14.8 ms
64 bytes from 172.217.7.14: icmp_seq=113 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=114 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=115 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=116 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=117 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=118 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=119 ttl=56 time=15.0 ms
64 bytes from 172.217.7.14: icmp_seq=120 ttl=56 time=14.9 ms
64 bytes from 172.217.7.14: icmp_seq=121 ttl=56 time=14.9 ms
^C
--- 172.217.7.14 ping statistics ---
121 packets transmitted, 121 received, 0% packet loss, time 120150ms
rtt min/avg/max/mdev = 14.899/14.999/15.789/0.092 ms
